CUI,Canonical name
C0086835,Structure of posterior tibial artery
C0024947,Maxilla
C0006663,Calcinosis
C0521367,Oropharyngeal
C0242073,Pulmonary congestion
C0030326,Panniculitis
C0225971,Pericardial fat
C0230330,Left upper extremity
C0027051,Myocardial Infarction
C0225754,Bilateral lungs
C0007115,Malignant neoplasm of thyroid
C0003484,Abdominal aorta structure
C0183512,Biliary Stent Devices
C0008841,Structure of cisterna magna
C2733597,Right superior vena cava
C0876973,Infectious Lung Disorder
C0243065,"Aplasia, NOS"
C0349604,Intracranial Meningioma
C0014859,Esophageal Neoplasms
C0227327,Distal part of ileum
C0155626,Acute myocardial infarction
C0226086,Right common carotid artery structure
C0017129,gastric fundus
C0230346,Right upper arm structure
C0222600,Right breast
C0264733,Ventricular dilatation (disorder)
C0021156,Incisor
C1276274,Structure of soft tissues of neck
C0014876,Esophagus
C0229354,Left middle ear structure
C0007272,Carotid Arteries
C0228121,Tentorium cerebelli
C0028429,Nose
C0222652,Cortex of bone
C0027088,myometrium
C0000726,Abdomen
C0332459,Compressed structure
C0224856,Tendon sheath
C0446516,Upper arm
C0179790,Pulmonary artery flotation catheter
C0729619,Computed tomography imaging - action
C0332965,Congenital arteriovenous fistula
C0549423,Obstructive Hydrocephalus
C0005971,Bone plates
C0040578,Trachea
C0228465,Cerebellar hemisphere structure
C0230039,Structure of pterygopalatine fossa
C0021934,Intussusceptum
C0024957,Maxillary Sinus
C0206187,"Bile Ducts, Extrahepatic"
C0158266,Intervertebral Disc Degeneration
C1321546,Anaplastic large B-cell lymphoma
C0003943,Arytenoid Cartilage
C0004811,Structure of basilar artery
C0230347,Left upper arm structure
C1178870,Structure of right buttock
C0002895,"Anemia, Sickle Cell"
C0431952,Congenital acetabular dysplasia
C0442800,Enlarged
C0162864,Tunica Intima
C0000846,Agenesis
C0031050,Pericardial sac structure
C0223696,Structure of head of radius
C0227665,Both kidneys
C1261076,Structure of left upper lobe of lung
C0446413,C3 level
C0030851,penis
C0456934,Entire right auricular appendage
C0026684,Mucocele of appendix
C0225740,Lingula of left lung
C0333159,Emphysematous
C0086510,Kirschner Wires
C1962945,Radiographic imaging procedure
C0446435,L5 level
C0932510,Structure of distal interphalangeal joint
C0024248,Lymphocele
C0223084,Body of vertebra
C0448227,Lateral malleolus
C0040961,Tricuspid Valve Insufficiency
C0226365,Structure of right internal iliac artery
C0344482,Hypoplasia of corpus callosum
C1299205,Vitreous body part
C0205207,Cystic
C0228174,Cerebral hemisphere structure (body structure)
C3163626,Descending thoracic aorta
C0002448,Ameloblastoma
C0085268,Bone remodeling
C0027086,Myoma
C1282208,Preseptal cellulitis
C1265880,Focal calcium deposition
C0227423,Transition zone of anal mucous membrane
C0028259,Nodule
C0870032,Skin AND subcutaneous tissue structure
C0264515,"Pneumonia, Necrotizing"
C0034063,Pulmonary Edema
C0032961,Pregnancy
C0439664,Necrotizing
C0341512,Retroperitoneal hematoma
C0010316,Structure of cribriform plate
C0226731,Left branch of portal vein
C0152282,"Lateral ventricle, occipital horn"
C0014008,Empty Sella Syndrome
C0226383,Structure of internal pudendal artery
C0742078,Mass lesion of brain
C0034099,Pulp Chamber
C1510412,Pseudoaneurysm
C0175722,Clip
C1522230,Ophthalmic Route of Drug Administration
C1704302,permanent premolar tooth
C4302819,Cystic nodule
C0519097,Left ventricular aneurysm
C3266688,Cephalometric menton point
C0007285,Bone structure of carpus
C1456859,Thoracic region (surface region of back)
C0446501,Paravertebral region
C0447122,Structure of vein of trunk
C0151699,Intracranial Hemorrhage
C0018965,Hematuria
C0578575,Dissection of proximal aorta
C0264372,Bronchiolectasis
C2924612,Cephalometric point A
C0949022,Malignant Rectal Neoplasm
C0013516,Echocardiography
C0439667,Granulomatous
C0344911,Left cardiac ventricular dilatation
C1455736,Acoustic radiations structure
C0549113,Aortic Root
C0006105,Brain Abscess
C0026724,Mucous Membrane
C0230337,Structure of right axillary region
C0934420,Cephalometric nasion point
C0221430,Acquired deformity
C0036277,Bone structure of scapula
C0302350,Therapeutic
C0524469,Structure of left shoulder region
C0521619,Obstruction of pelviureteric junction
C1261079,Structure of left cusp of aortic valve
C0348072,Lateral meniscus structure
C0037925,Spinal Cord
C0022427,Structure of jugular vein
C0021368,Inflammation
C0226054,Right pulmonary artery
C0007785,Cerebral Infarction
C0005401,Intrahepatic bile duct
C4551531,Serratus ventralis muscle
C0015811,Femur
C0229560,Structure of left adrenal gland
C0019569,Hirschsprung Disease
C0230185,Epigastrium
C0015801,Structure of femoral artery
C0036091,Sialolithiasis
C0584640,Tibial plateau structure
C0025064,Mediastinitis
C0040421,Palatine Tonsil
C0017636,Glioblastoma
C0228157,Periventricular white matter
C0341676,Pyelectasia
C0032310,"Pneumonia, Viral"
C0230148,Anterior mediastinum
C0225950,Structure of anterior leaflet of mitral valve
C0205950,Calvaria
C0031774,Structure of phrenic nerve
C0006141,Breast
C3714787,Central Nervous System
C0227489,Caudate lobe of liver
C0005615,Birth
C0819757,Structure of parenchyma of lung
C0736268,Liver parenchyma
C0443258,Microvascular
C0149601,Structure of conus medullaris
C0037579,Soft Tissue Neoplasms
C0149871,Deep Vein Thrombosis
C0015813,Head of femur
C0333200,Intramural hematoma
C0476089,Endometrial Carcinoma
C0032584,polyps
C0040426,Tooth structure
C0549109,Plantar fascia structure
C0508001,Structure of left renal vein
C0149573,Structure of posterior inferior cerebellar artery
C0006444,Bursitis
C0348073,Medial meniscus structure
C0817096,Chest
C0739481,Structure of left common iliac vein
C0040588,Tracheoesophageal Fistula
C0227300,Duodenal ampulla
C0226758,Structure of common iliac vein
C0225732,Structure of base of left lung
C0003483,Aorta
C0039538,Teratoma
C0162871,"Aortic Aneurysm, Abdominal"
C0237962,Retroperitoneal abscess
C0332886,Coarctation
C0228919,Structure of saphenous nerve
C0039979,Thoracic Duct
C0224418,Structure of iliacus muscle
C0024005,Acquired lordosis deformity of spine due to poor posture
C0155773,Portal Vein Thrombosis
C0226859,Superior sagittal sinus
C0226862,Structure of straight sinus
C0584894,Rectus femoris muscle structure
C0522644,Embolization coil
C0227617,Structure of fatty capsule of kidney
C0149854,Cerebellar hemorrhage
C0080310,Left Ventricular Function
C0588198,Bone structure of proximal tibia
C0235833,Congenital diaphragmatic hernia
C0021935,Intussuscipiens
C0039508,Tendon structure
C0227998,Structure of left testis
C0457138,Liver segment
C0700185,Decalcification
C0225949,Leaflet of mitral valve
C0242216,Biliary calculi
C0021724,Structure of intercostal muscle
C0392508,Spigelian hernia
C0149566,Structure of middle cerebral artery
C0265885,Kommerell's diverticulum
C0017651,Globus Pallidus
C0029456,Osteoporosis
C0227456,Structure of right parotid gland
C0553730,Calcium pyrophosphate deposition disease
C0230377,Both hands
C0024688,Mandibular Condyle
C0225947,Structure of anulus fibrosus of mitral orifice
C1321506,Entire anterior descending branch of left coronary artery
C0042559,Structure of vertebral artery
C0546019,Left basal ganglia
C0225331,Fibrous tissue
C0032131,Plasmacytoma
C0222682,Phalanx Unspecified
C2937240,Upper abdomen structure
C0458582,Upper lip structure
C0223683,Structure of head of humerus
C0205417,Lobular
C0017531,Angiolymphoid hyperplasia
C0449434,Femoral component
C0223736,Bone structure of trapezium
C0225957,Structure of anulus fibrosus of aorta
C0576462,Entire proximal phalanx (body structure)
C1578559,Buccal mucosa
C0013922,Embolism
C0029927,Ovarian Cysts
C0015385,Limb structure
C0080178,Spina Bifida
C0228673,Optic nerve sheath
C0036036,Sacroiliac joint structure
C0228193,Right frontal lobe structure
C0006660,Physiologic calcification
C0238198,Gastrointestinal Stromal Tumors
C0222722,Structure of posterior condyle of occipital bone
C0224444,Structure of vastus lateralis muscle
C0012621,Body Fluid Discharge
C0007303,Structure of articular cartilage
C0226671,Structure of superior right pulmonary vein
C0021308,Infarction
C0475224,Ischemic
C0442856,Hypoperfusion
C0226727,Portal Venous System
C0559523,Genital tuberculosis
C1527303,Chronic Airflow Obstruction
C0015300,Exophthalmos
C0577871,Mitral valve vegetations
C0566602,Primary sclerosing cholangitis
C0004526,Structure of azygous vein
C0700374,Palate
C0029130,Optic Nerve
C0224362,Structure of latissimus dorsi muscle
C0021494,Intravenous Injections
C0224086,Belly of skeletal muscle
C0576463,Entire middle phalanx (body structure)
C0003964,Peritoneal Fluid (body substance)
C0030296,pancreatic juice
C0202657,CT follow-up
C0226401,Structure of inferior epigastric artery
C0022651,Structure of calyx
C0034074,Pulmonary Infarction
C0227411,Anal canal
C0336700,Bullet fragment
C0006087,Structure of brachial artery
C0003838,Arterial Occlusive Diseases
C0227511,Structure of gallbladder fossa of liver
C0229753,Structure of subcarinal lymph node
C0149973,Intrauterine pregnancy
C0448197,Structure of lateral condyle of femur
C0007286,Carpal Tunnel Syndrome
C0270712,Late cortical cerebellar atrophy
C0019066,Nontraumatic hemoperitoneum
C0392482,Common atrium
C0230193,Anterior abdominal wall
C4545645,Structure of lymph node of left axilla
C0344893,Right cardiac ventricular dilatation
C0240340,Microdontia (disorder)
C0227638,Structure of perirenal fat
C0152335,Structure of anterior commissure
C0225951,Structure of posterior leaflet of mitral valve
C0559260,Congenital scoliosis
C0012813,Diverticulitis
C0448194,Entire distal femur
C0010674,Cystic Fibrosis
C1368898,Adult Teratoma
C0152281,Structure of anterior horn of lateral ventricle
C0228232,Right temporal lobe structure
C0224520,Symphysis structure
C0497156,Lymphadenopathy
C0205076,Chest wall structure
C0180499,Drain device
C1956089,Osteophyte
C0238132,Bronchopleural Fistula
C0580781,Structure of apex of left ventricle
C0205287,Membranous
C0032320,Pneumoperitoneum
C0206734,Hemangioblastoma
C0333276,Acute hemorrhage
C0588054,Cervical lymph node group
C2711204,Structure of maxillary incisor tooth
C0270629,Epidural Abscess
C0206062,"Lung Diseases, Interstitial"
C0410013,Soft tissue lesion
C0025299,Meningocele
C0041960,Ureterocele
C0030560,Parietal Lobe
C0025062,Mediastinal Emphysema
C0085590,catheter device
C0039729,Thalamic structure
C0205042,Coronary artery
C0750610,Structure of gastric vein
C0015641,Fascia
C0038293,Sternum
C0022664,Structure of medulla of kidney
C0439859,Autologous (qualifier value)
C0034229,Pyramidal Tracts
C0505385,Level of the fourth thoracic vertebra
C0028109,Nipples
C0005695,Bladder Neoplasm
C2882221,Acute pulmonary embolism
C0446417,C7 level
C0225776,Visceral pleura
C0162872,"Aortic Aneurysm, Thoracic"
C0678222,Breast Carcinoma
C1692886,"Arthritis, Bacterial"
C3266841,Deciduous tooth
C0439686,Cirrhotic
C0152344,Internal capsule posterior limb structure
C0019564,Hippocampus (Brain)
C0230097,Structure of waist (surface region)
C0014118,Endocarditis
C0030786,Hip Bone
C0001527,Adipose tissue
C0457113,Entire left auricular appendage
C0205297,Nodular (qualifier value)
C0024202,Lymph
C0222724,Clivus
C0007461,Caudate nucleus structure
C0222762,Rib Cage
C1331262,"Muscle, Striated"
C1134719,Invasive Ductal Breast Carcinoma
C0019065,Hemoperitoneum
C0030163,Artificial cardiac pacemaker
C0020887,Structure of iliac artery
C0030558,Parietal bone structure
C0038016,Spondylolisthesis
C0001208,Acromioclavicular joint structure
C0241982,Bulla of lung
C0036186,Saphenous Vein
C0227186,Cervical part of esophagus
C0149520,Acute Cholecystitis
C0085808,"Aneurysm, Mycotic"
C3887513,Avascular necrosis
C0235974,Pancreatic carcinoma
C0230329,Right upper extremity
C0447106,Superficial femoral artery
C5244027,Pneumonia caused by SARS-CoV-2
C0225353,Glandular
C0030785,Pelvic abscess
C0034169,Structure of putamen
C0024876,Masseter muscle structure
C0021851,Large Intestine
C0333046,Lateral displacement
C0022665,Kidney Neoplasm
C0206702,Klatskin Tumor
C0152283,"Lateral ventricle, temporal horn"
C0340464,Premature Cardiac Complex
C0040300,Body tissue
C0028785,Occipital lobe
C1305610,Entire body of third lumbar vertebra
C0333034,Opaque foreign body
C4274828,Anterior nasal spine
C0699791,Stomach Carcinoma
C0745283,INFECTIOUS PROCESS
C0224440,Structure of quadriceps femoris muscle
C0003864,Arthritis
C0582256,Entire right main branch of portal vein
C0582800,Condyle of femur
C0037926,Compression of spinal cord
C0225782,Structure of right pleural cavity
C0877172,"Hematoma, Epidural, Spinal"
C0227194,Structure of esophageal lumen
C0923928,Structure of left optic nerve
C0030352,Structure of papillary muscle
C0230425,Structure of right thigh
C0038593,Subtalar joint structure
C0333044,Posterior displacement
C0007764,Structure of cerebellopontine angle
C0007193,"Cardiomyopathy, Dilated"
C0019064,Hemopericardium
C0155843,Retropharyngeal Abscess
C0230108,Infraclavicular region structure
C0042460,Vena cava structure
C0222756,Structure of mandibular canal
C0014537,Structure of epidural space
C0227047,Maxillary left first premolar
C0267156,Emphysematous gastritis
C0024090,Lumbar Region
C0152391,Structure of superior cerebellar peduncle
C0917804,"Arteriovenous Malformations, Cerebral"
C0156273,Bladder Diverticulum
C0202823,Chest CT
C0027422,Nasal bone structure
C4281599,Structure of left knee region
C0460026,Lower jaw region
C0038969,Surgical sutures
C1699633,PET/CT scan
C0262587,Parathyroid Adenoma
C0027437,Nasolacrimal duct structure
C1269894,Entire left atrium
C0227147,Structure of retropharyngeal area
C0040456,Impacted tooth
C0041638,Umbilicus (Anatomy)
C0205312,Papillary
C1145670,Respiratory Failure
C0449900,Contrast used
C0026367,Molar tooth
C4317009,Diverticular Diseases
C0037884,Sphenoid bone structure
C0003504,Aortic Valve Insufficiency
C0015808,Structure of femoral nerve
C0205239,Dissecting
C0010633,Cystadenoma
C0226276,Structure of internal thoracic artery
C0001625,Adrenal Glands
C0029440,Osteoma
C0228219,Left occipital lobe structure
C1283694,Intestinal wall structure
C0686619,Lymph Node Metastasis
C0149556,Fourth ventricle structure
C0496827,Malignant neoplasm of dome of bladder
C0024623,Malignant neoplasm of stomach
C0030297,Pancreatic Neoplasm
C0007301,Cartilage
C0027149,Myxoma
C0007570,Celiac Disease
C0003962,Ascites
C0225973,Pericardial fluid (substance)
C0230338,Structure of left axillary region
C0014653,Equilibrium
C0003617,Appendix
C0023801,Lipomatosis
C1444214,Impatent structure
C0042458,Inferior vena cava structure
C1140999,Contraction (finding)
C0030797,Pelvis
C0003842,Arteries
C0410574,Synovial Hypertrophy
C1123023,Skin
C0472809,Subcapsular hematoma of spleen
C0011644,Scleroderma
C1261287,Stenosis
C0014742,Erythema Multiforme
C0584227,Ethmoid sinus uncinate process
C0238792,Bone lesion
C0439708,Mucous Appearance
C0346990,Carcinomatosis of peritoneal cavity
C0011666,Descending aorta
C0223908,Head of fibula structure
C0018801,Heart failure
C0002638,Amniotic Fluid
C0243066,Atresia
C0023078,Larynx
C0001428,Adenoidal structure
C1178871,Structure of left buttock
C0224447,Structure of pectineus muscle
C0041295,Tuberculoma
C1563055,Interphalangeal joint structure
C0001624,Adrenal Gland Neoplasms
C0224497,Articular space
C0230321,Left iliac region
C0699752,Review of
C0037993,Spleen
C0748390,Retroperitoneal lymphadenopathy
C0230284,Pelvic wall
C0024670,Mammillary body structure
C0037197,Structure of sinus of Valsalva
C1253936,Hydrarthrosis
C0183622,Stool seat
C0032652,Structure of popliteal vein
C0010031,Cornea
C0027432,Nasal septum structure
C0456269,Para-aortic region
C0542331,Shunt Device
C1280202,Entire eye
C0391978,Bone Tissue
C0521620,Dilatation of ureter
C1261045,Sacral vertebra structure
C0262627,Seroma
C1882062,Neoplastic disease
C0002382,Alveolar Bone Loss
C0042425,Ampulla of Vater
C0521515,Calcific tendinitis
C0032227,Pleural effusion disorder
C0459705,Fifth metatarsal structure
C0403379,Emphysematous pyelonephritis
C0333205,Mural thrombus
C0011923,Diagnostic Imaging
C0040053,Thrombosis
C0228208,Left parietal lobe structure
C0031039,Pericardial effusion
C0226901,Hard Palate
C0342419,Pituitary mass
C0225968,Epicardium
C0011900,Diagnosis
C0225377,Structure of upper respiratory tract cavity
C0020452,Hyperemia
C0225836,Interatrial septum
C1281569,Entire colon
C0225847,Right coronary sulcus
C0018802,Congestive heart failure
C0025047,Meconium
C0012359,Pathological Dilatation
C0228134,Spinal epidural space
C0446415,C5 level
C0042276,Vagus nerve structure
C0153690,Secondary malignant neoplasm of bone
C0521174,Microcalcification
C0446908,Mastoid process
C0030471,Nasal sinus
C0227682,Structure of right ureter
C0460004,Head and neck structure
C0447105,Common Femoral Artery
C0448196,Structure of medial condyle of femur
C0026718,Mucormycosis
C0079321,External Fixation Devices
C0333045,Superior displacement
C2939419,Secondary Neoplasm
C0226958,Root of tongue
C0225924,Atrioventricular valve
C0225810,Structure of base of heart
C0085515,Rotator Cuff
C0224422,Internal obturator muscle structure
C1306838,Proliferative arthritis
C4048328,cervical cancer
C0230136,Structure of intercostal space
C0024764,Bone structure of manubrium
C0162342,Lentiform nucleus structure
C0182494,Mitral valve prosthesis
C0223603,Lumbosacral spine
C0264112,Wedging of vertebra
C0223644,Structure of anterior superior iliac spine
C0022408,Arthropathy
C0448361,Entire rotator muscle
C0239137,Coxa valga
C0225972,Pericardial cavity
C0222712,Jugular foramen
C2239273,Supraglottis (body part)
C0152321,Structure of genu of corpus callosum
C0227579,Head of pancreas
C0230360,Structure of right forearm
C0006271,Bronchiolitis
C0029408,Degenerative polyarthritis
C0333311,Sequestrum
C0025148,Medulla Oblongata
C0018246,Inguinal region
C0030283,Pancreatic Cyst
C0230141,Structure of left thoracic cavity
C0332241,Equivocal
C0263772,Coxae malum senilis
C0031939,Pineal gland
C0230443,Structure of left lower leg
C0016536,Forearm
C4303641,Structure of right carotid artery
C0206650,Fibroadenoma
C0333288,Dissecting hemorrhage
C0008524,Structure of choroid plexus
C0228233,Left temporal lobe structure
C0162770,Right Ventricular Hypertrophy
C2937358,Cerebral Hemorrhage
C0456973,Hilar lymphadenopathy
C0040132,Thyroid Gland
C0222819,Bone structure of first rib
C0301559,Screw
C0224868,Tendon of supraspinatus muscle
C0022650,Kidney Calculi
C0227613,Right kidney
C0022907,Lacrimal gland structure
C0456944,Coronary sinus structure
C0008913,Bone structure of clavicle
C0032994,"Pregnancy, Tubal"
C0521108,Recovering from
C0228120,Structure of falx cerebri
C0578735,Axillary lymphadenopathy
C0016427,Follicular cyst
C0181598,Left ventricular assist device
C0033785,Pseudarthrosis
C0225477,Right sphenoid sinus structure
C0032987,Ectopic Pregnancy
C0041321,"Tuberculosis, Miliary"
C0040137,Thyroid Nodule
C0446409,Vertebral level
C0005400,Bile duct structure
C1458136,Renal stone substance
C0085222,Psoas Abscess
C0836916,Abdominal wall structure
C0007874,Cervix Uteri
C0152240,Uterus bilocularis
C0227060,Mandibular left first premolar tooth
C0034196,Pylorus
C0005937,Bone Cysts
C0034186,Pyelonephritis
C0025474,Mesentery
C2004491,Cicatrix
C0225975,Serous portion of pericardium
C0226378,Structure of uterine artery
C0205271,Irregular
C0225990,Large blood vessel structure
C0223185,Body of seventh cervical vertebra
C0030747,Pectoralis Muscles
C0025589,Metatarsophalangeal joint structure
C0011350,Dental Enamel
C0032044,Placenta Accreta
C0224424,Structure of gluteus maximus muscle
C1305773,Entire symphysis pubis
C0225478,Left sphenoid sinus structure
C0030274,Pancreas
C0035237,Respiratory System
C0448311,Extraocular rectus muscle
C1284290,Entire hilum of left lung
C0028863,Muscle of orbit
C0225435,Middle nasal turbinate structure
C0229619,Hemopoietic tissue
C0729890,Iliac vessel
C0036525,Metastatic to
C0227188,Thoracic esophagus
C0162860,Structure of inferior mesenteric artery
C0994163,"Cholangiopancreatography, Magnetic Resonance"
C0024305,"Lymphoma, Non-Hodgkin"
C0226398,Structure of external iliac artery
C0448011,Mental Foramen
C0178802,Pleural cavity
C0019149,Common Hepatic Duct
C0009450,Communicable Diseases
C0228084,Nerve root structure
C0400979,Obstruction of biliary tree
C0223984,Entire second metatarsal
C0003151,Anterior chamber of eye structure
